time	x	y	v
0.000	976.3	546.3	289
3.333	971.1	537.6	289
6.667	983.2	531.5	289
10.000	977.9	535.7	289
13.333	980.7	535.6	203
16.667	977.7	538.3	575
20.000	977.3	536.7	119
23.333	972.1	538.8	404
26.667	978.6	544.1	703
30.000	978.8	526.9	624
33.333	985.0	529.3	830
36.667	987.3	533.3	305
40.000	978.6	531.4	331
43.333	993.0	535.0	548
46.667	980.4	535.2	469
50.000	979.0	532.7	540
53.333	980.4	542.6	364
56.667	987.6	540.9	367
60.000	982.3	541.8	323
63.333	980.9	536.0	427
66.667	989.4	536.5	603
70.000	984.8	541.5	605
73.333	977.7	530.8	692
76.667	972.7	537.9	326
80.000	972.9	542.2	85
83.333	979.0	546.7	394
86.667	988.4	537.2	113
90.000	975.2	537.0	382
93.333	981.9	538.4	448
96.667	968.4	540.2	149
100.000	972.7	538.8	501
103.333	979.8	537.4	396
106.667	986.5	541.0	553
110.000	980.7	545.6	189
113.333	980.7	538.1	398
116.667	979.8	540.4	37
120.000	972.5	543.2	416
123.333	981.5	547.1	390
126.667	989.6	539.0	321
130.000	975.6	529.8	298
133.333	977.5	534.4	623
136.667	981.5	542.6	852
140.000	975.6	538.6	602
143.333	969.6	545.2	211
146.667	978.6	548.9	97
150.000	985.9	536.7	349
153.333	971.9	541.3	676
156.667	981.3	542.6	506
160.000	979.2	537.1	444
163.333	985.5	536.1	154
166.667	979.8	535.2	350
170.000	967.9	535.0	224
173.333	980.7	542.2	263
176.667	977.7	532.8	249
180.000	977.7	534.4	426
183.333	977.3	532.3	358
186.667	967.5	536.4	201
190.000	976.7	525.7	181
193.333	978.6	536.9	474
196.667	977.1	539.6	562
200.000	978.8	532.4	485
203.333	982.3	537.9	306
206.667	967.7	546.8	175
210.000	971.9	530.6	69
213.333	976.5	540.2	106
216.667	978.0	533.2	118
220.000	978.2	539.9	109
223.333	976.3	542.7	356
226.667	966.1	541.9	484
230.000	977.7	529.2	420
233.333	970.2	539.0	197
236.667	968.6	542.9	21
240.000	971.9	532.4	392
243.333	971.5	539.8	172
246.667	969.0	537.2	202
250.000	967.3	538.2	151
253.333	971.9	535.2	564
256.667	976.3	541.8	308
260.000	972.3	530.5	238
263.333	970.0	525.9	578
266.667	971.3	538.4	637
270.000	962.5	540.1	550
273.333	966.0	542.9	434
276.667	969.6	543.3	486
280.000	968.8	533.5	602
283.333	972.3	541.2	625
286.667	978.8	538.8	383
290.000	971.7	542.3	117
