time	x	y	v
0.000	1350.1	555.0	220
3.333	1366.3	554.3	220
6.667	1354.2	556.1	220
10.000	1350.3	547.7	220
13.333	1357.8	545.0	768
16.667	1354.6	563.0	556
20.000	1357.2	546.0	826
23.333	1339.0	553.7	698
26.667	1347.6	561.5	680
30.000	1341.3	554.6	179
33.333	1348.2	547.3	483
36.667	1346.1	545.7	183
40.000	1347.5	558.8	248
43.333	1349.0	548.7	504
46.667	1344.4	556.1	543
50.000	1350.3	549.8	541
53.333	1350.1	560.7	781
56.667	1341.1	560.7	144
60.000	1342.7	564.0	226
63.333	1345.2	562.8	306
66.667	1349.6	550.8	448
70.000	1344.0	551.2	282
73.333	1340.4	563.8	384
76.667	1345.5	551.0	151
80.000	1348.0	559.1	96
83.333	1349.0	545.8	267
86.667	1343.2	560.6	534
90.000	1343.8	554.3	662
93.333	1351.3	559.7	1027
96.667	1346.5	564.4	377
100.000	1353.6	566.6	422
103.333	1350.1	569.2	234
106.667	1349.6	551.4	294
110.000	1354.2	566.1	299
113.333	1343.6	557.4	350
116.667	1355.1	563.0	798
120.000	1346.1	561.7	427
123.333	1347.3	553.6	578
126.667	1342.1	580.5	412
130.000	1354.8	566.8	657
133.333	1356.7	562.5	763
136.667	1353.8	568.0	162
140.000	1343.2	577.6	532
143.333	1346.1	578.9	233
146.667	1350.9	562.6	411
150.000	1347.3	572.1	630
153.333	1351.5	566.7	409
156.667	1356.9	568.4	366
160.000	1349.8	569.4	402
163.333	1355.7	571.4	506
166.667	1353.6	570.5	662
170.000	1345.7	581.0	445
173.333	1353.8	573.2	609
176.667	1344.0	578.2	316
180.000	1354.2	577.4	207
183.333	1345.7	583.7	119
186.667	1347.8	575.3	209
190.000	1355.5	578.3	129
193.333	1346.7	577.2	246
196.667	1342.1	585.6	208
200.000	1354.4	578.6	227
203.333	1353.4	580.5	218
206.667	1348.4	579.6	337
210.000	1357.1	575.5	47
213.333	1343.8	588.0	368
216.667	1358.2	579.0	389
220.000	1352.4	578.2	222
223.333	1361.3	583.6	221
226.667	1353.2	583.5	462
230.000	1356.3	579.2	295
233.333	1348.6	580.3	201
236.667	1350.7	587.4	115
240.000	1351.9	577.6	117
243.333	1359.4	580.7	156
246.667	1348.8	580.1	60
250.000	1349.8	582.4	503
253.333	1345.9	584.9	134
256.667	1356.1	581.5	558
260.000	1348.0	589.5	412
263.333	1359.7	578.4	561
266.667	1358.6	578.6	307
270.000	1352.4	591.1	181
273.333	1362.2	581.0	468
276.667	1350.7	592.3	549
280.000	1352.8	585.0	347
283.333	1355.5	585.5	755
286.667	1345.9	591.1	393
290.000	1352.4	592.2	225
293.333	1347.8	596.7	199
296.667	1343.8	587.0	334
300.000	1363.4	588.3	131
303.333	1352.6	587.2	301
306.667	1349.8	592.3	191
310.000	1351.1	592.2	435
313.333	1355.3	586.8	295
316.667	1345.0	589.9	462
320.000	1355.3	595.7	673
323.333	1350.0	594.8	1979
326.667	1357.1	600.4	3916
330.000	1338.4	599.9	7182
333.333	1302.3	602.3	9564
336.667	1264.1	604.9	11323
340.000	1207.5	595.9	11421
343.333	1177.0	589.4	10337
346.667	1144.3	595.6	9767
350.000	1117.6	618.8	9259
353.333	1100.2	614.5	10022
356.667	1052.4	604.0	10546
360.000	1017.6	594.9	10827
363.333	971.5	585.9	11193
366.667	943.5	584.9	10760
370.000	918.1	581.5	10202
373.333	871.3	572.9	10088
376.667	836.2	573.8	10081
380.000	815.2	585.6	9805
383.333	771.3	566.2	8618
386.667	747.1	571.4	7189
390.000	717.9	570.7	5009
393.333	704.8	572.5	1952
396.667	704.1	572.0	553
400.000	719.4	562.5	1459
403.333	733.6	569.2	1278
406.667	735.6	559.0	115
410.000	731.9	571.0	753
413.333	719.2	563.8	819
416.667	702.9	567.4	486
420.000	722.3	557.8	767
423.333	729.2	560.0	1195
426.667	727.3	556.2	1255
430.000	728.8	557.4	557
433.333	731.1	550.3	427
436.667	730.0	552.2	722
440.000	735.0	555.4	677
443.333	721.7	549.1	743
446.667	720.8	539.9	493
450.000	719.0	557.3	209
453.333	721.2	559.1	252
456.667	724.8	548.1	220
460.000	726.3	549.0	598
463.333	720.6	552.5	504
466.667	719.2	553.2	235
470.000	720.6	541.2	276
473.333	720.8	547.7	439
476.667	721.3	551.2	375
480.000	716.7	552.1	154
483.333	713.9	538.9	134
486.667	717.9	544.0	238
490.000	721.7	551.2	482
493.333	716.0	550.5	285
496.667	714.8	542.3	423
500.000	709.1	534.8	169
503.333	713.3	546.7	644
506.667	713.5	547.7	835
510.000	719.0	549.6	780
513.333	724.0	557.1	254
516.667	713.1	550.4	177
520.000	719.6	549.1	273
523.333	711.6	553.4	271
526.667	716.7	543.3	135
530.000	716.7	554.1	239
533.333	714.2	555.1	51
536.667	717.5	549.4	117
540.000	714.2	554.9	277
543.333	711.6	548.0	599
546.667	716.5	547.5	623
550.000	720.2	551.7	509
553.333	719.4	539.1	186
556.667	705.6	540.1	474
560.000	720.6	547.5	222
563.333	709.8	547.6	384
566.667	709.2	542.3	215
570.000	719.8	550.9	371
573.333	715.4	545.5	326
576.667	711.4	543.9	321
580.000	709.8	540.2	488
583.333	717.5	542.6	511
586.667	720.0	542.8	283
590.000	723.5	540.8	440
593.333	719.8	545.8	510
596.667	710.2	545.4	476
600.000	714.0	551.0	649
603.333	713.1	545.0	585
606.667	714.0	539.1	369
610.000	718.1	526.9	40
613.333	716.4	544.0	495
616.667	711.2	545.4	454
620.000	715.8	549.3	58
