time	x	y	v
0.000	1005.9	425.2	2053
3.333	985.2	435.3	2053
6.667	973.6	440.3	2053
10.000	953.3	452.5	2053
13.333	980.9	441.7	2265
16.667	961.9	433.8	3025
20.000	957.1	441.8	3599
23.333	931.6	406.5	4573
26.667	920.3	415.2	3443
30.000	915.3	410.8	1785
33.333	894.3	408.1	97
36.667	910.1	414.3	555
40.000	932.9	409.6	909
43.333	922.4	410.7	1531
46.667	915.1	402.7	537
50.000	924.9	422.2	485
53.333	936.6	417.0	410
56.667	917.0	418.8	154
60.000	915.1	404.4	520
63.333	927.6	423.3	55
66.667	919.7	410.9	178
70.000	923.3	411.5	849
73.333	931.8	418.3	634
76.667	905.5	418.7	1071
80.000	913.5	428.3	637
83.333	921.6	420.8	623
86.667	924.1	434.6	559
90.000	937.2	413.9	979
93.333	926.2	422.9	1626
96.667	906.0	414.6	1524
100.000	905.9	411.3	1268
103.333	898.6	414.1	1014
106.667	923.3	404.6	1267
110.000	922.6	391.7	1096
113.333	933.7	420.3	417
116.667	918.7	412.3	894
120.000	922.9	410.1	513
123.333	912.4	407.7	412
126.667	923.9	423.4	696
130.000	934.7	406.8	420
133.333	928.3	431.1	245
136.667	921.8	415.0	1292
140.000	913.0	415.5	1184
143.333	916.4	411.2	962
146.667	902.0	434.7	1264
150.000	921.0	422.2	426
153.333	903.0	415.0	447
156.667	904.5	444.0	1580
160.000	917.4	413.0	705
163.333	925.4	420.3	874
166.667	926.0	399.1	765
170.000	906.8	420.3	417
173.333	910.1	410.8	1113
176.667	932.4	428.5	803
180.000	923.5	415.4	376
183.333	892.4	429.4	986
186.667	917.4	412.3	909
190.000	905.5	425.4	499
193.333	900.7	405.1	1809
196.667	934.1	410.0	624
200.000	913.7	421.4	1396
203.333	937.7	408.0	1029
206.667	910.3	413.4	488
210.000	941.2	417.5	708
213.333	914.1	429.8	665
216.667	918.5	406.7	739
220.000	928.7	395.1	664
223.333	914.9	413.9	860
226.667	931.4	406.1	1189
230.000	910.7	426.7	807
233.333	909.5	438.0	500
236.667	924.1	409.8	267
240.000	930.4	412.2	639
243.333	912.6	399.9	467
246.667	918.0	426.1	277
250.000	912.2	418.4	365
253.333	930.2	416.0	370
256.667	923.5	409.6	674
260.000	925.2	418.6	343
263.333	915.5	407.5	1062
266.667	910.8	412.6	356
270.000	917.2	422.4	260
273.333	906.6	414.7	1162
276.667	933.5	418.2	992
280.000	918.3	418.0	869
283.333	941.2	404.8	1198
286.667	920.6	414.8	156
290.000	932.0	431.0	576
293.333	943.3	415.2	1141
296.667	918.3	406.7	1035
300.000	908.5	420.6	1087
303.333	920.6	421.7	1009
306.667	909.5	408.2	396
310.000	923.3	415.8	671
313.333	908.7	407.8	1180
316.667	905.1	415.6	1029
320.000	899.1	430.7	1167
323.333	905.3	430.2	1034
326.667	925.6	423.0	1043
330.000	941.2	422.4	1059
333.333	907.4	412.0	808
336.667	917.8	418.6	656
340.000	926.8	428.2	564
343.333	927.2	407.7	678
346.667	915.3	411.9	265
350.000	917.0	418.5	198
353.333	910.5	396.5	795
356.667	935.4	428.7	85
360.000	922.0	413.3	430
363.333	908.4	426.7	206
366.667	918.1	403.3	469
370.000	911.8	424.4	239
373.333	925.1	408.6	158
376.667	929.3	418.3	281
380.000	904.3	409.9	476
383.333	911.2	419.5	1368
386.667	917.0	408.3	616
390.000	912.0	414.5	736
393.333	898.4	437.2	189
396.667	923.7	418.5	795
400.000	923.1	410.2	716
403.333	907.6	420.9	852
406.667	927.0	432.5	548
410.000	916.6	404.1	2100
413.333	927.9	434.7	1110
416.667	903.9	418.1	821
420.000	863.0	431.4	503
423.333	920.3	422.1	344
426.667	927.9	403.8	1042
430.000	919.7	436.5	1610
433.333	904.7	425.6	1403
436.667	907.8	425.1	1257
440.000	928.7	429.1	102
443.333	894.0	441.0	547
446.667	923.9	436.5	459
450.000	912.6	421.0	1210
453.333	888.8	435.0	377
456.667	913.9	427.8	614
460.000	893.2	422.1	1090
463.333	918.7	437.6	809
466.667	919.9	410.7	577
470.000	923.9	429.7	378
473.333	893.0	422.0	1138
476.667	894.5	428.2	854
480.000	907.2	428.5	714
483.333	901.6	424.1	1515
486.667	912.6	432.3	1153
490.000	922.8	407.2	142
493.333	915.6	416.0	214
496.667	917.4	437.3	1191
500.000	894.7	420.9	1220
503.333	911.0	426.8	174
506.667	890.7	422.8	1129
510.000	916.8	434.9	1227
