time	x	y	v
0.000	882.6	367.3	516
3.333	872.8	339.6	516
6.667	863.6	371.3	516
10.000	880.5	353.7	516
13.333	879.4	354.5	918
16.667	869.2	367.8	1078
20.000	889.3	367.0	364
23.333	878.0	359.4	405
26.667	894.0	353.3	797
30.000	876.1	365.0	1266
33.333	862.8	368.1	544
36.667	862.8	362.6	524
40.000	870.7	355.2	836
43.333	884.0	349.4	843
46.667	894.0	353.7	357
50.000	872.3	368.8	303
53.333	870.3	349.4	504
56.667	876.1	366.3	341
60.000	876.3	351.0	324
63.333	878.8	352.3	761
66.667	877.8	360.1	368
70.000	871.3	357.6	405
73.333	871.9	375.8	702
76.667	873.4	356.1	381
80.000	878.8	355.4	897
83.333	875.9	377.7	125
86.667	874.6	365.1	512
90.000	882.8	381.6	799
93.333	870.5	357.3	718
96.667	871.1	368.5	978
100.000	859.2	370.1	952
103.333	879.4	359.1	272
106.667	861.5	352.2	598
110.000	869.4	363.6	417
113.333	862.5	366.2	782
116.667	870.0	351.1	1139
120.000	878.0	369.0	684
123.333	886.1	368.5	1201
126.667	878.0	361.4	1324
130.000	872.8	370.2	1452
133.333	873.2	391.2	829
136.667	875.9	376.9	384
140.000	861.3	391.1	739
143.333	880.1	366.7	1254
146.667	873.2	375.1	627
150.000	858.0	365.7	328
153.333	865.7	368.2	1167
156.667	877.2	373.2	534
160.000	856.7	393.8	809
163.333	873.2	386.1	282
166.667	876.1	366.2	325
170.000	876.9	368.9	668
173.333	868.2	379.1	281
176.667	871.9	379.3	112
180.000	871.9	376.8	710
183.333	873.6	367.8	842
186.667	880.5	368.1	544
190.000	882.8	363.6	1158
193.333	880.7	379.3	1441
196.667	874.0	391.8	1841
200.000	874.4	393.0	1113
203.333	866.9	384.5	985
206.667	847.1	383.5	753
210.000	876.7	378.9	428
213.333	857.9	385.7	342
216.667	863.8	383.5	436
220.000	866.3	381.3	768
223.333	869.0	383.6	61
226.667	851.5	395.2	628
230.000	858.6	384.7	990
233.333	868.0	380.9	1932
236.667	882.2	372.4	1955
240.000	871.1	369.5	830
243.333	899.5	373.8	725
246.667	875.9	375.8	996
250.000	873.4	386.6	1036
253.333	864.8	390.5	1491
256.667	871.1	373.6	906
260.000	861.7	361.6	1241
263.333	870.3	363.2	1059
266.667	873.0	373.6	1053
270.000	887.8	368.2	1563
273.333	873.4	367.1	976
276.667	858.4	401.0	551
280.000	876.7	386.6	306
283.333	877.1	373.9	720
286.667	887.6	378.1	1443
290.000	866.7	377.7	497
293.333	885.5	378.4	572
296.667	885.3	371.2	959
300.000	874.8	373.1	406
303.333	863.0	386.3	556
306.667	863.8	375.0	832
310.000	877.6	381.2	617
313.333	881.5	382.8	325
316.667	876.1	392.4	1648
320.000	879.4	367.1	4716
323.333	862.1	383.1	7799
326.667	823.7	376.2	9821
330.000	775.7	367.3	11501
333.333	727.9	355.1	11174
336.667	712.3	320.9	8590
340.000	669.3	309.9	6874
343.333	665.5	308.4	4725
346.667	671.2	324.8	3160
350.000	632.3	308.0	851
353.333	644.7	302.6	273
356.667	643.0	308.6	447
360.000	669.9	304.5	1384
363.333	654.3	320.9	1092
366.667	658.8	324.5	606
370.000	654.7	313.5	543
373.333	660.9	319.9	271
376.667	640.1	317.4	243
380.000	669.3	322.4	607
383.333	660.5	319.7	593
386.667	659.5	318.2	978
390.000	665.7	322.5	304
393.333	664.3	324.5	189
396.667	671.8	319.6	475
400.000	663.7	329.1	1237
403.333	661.4	312.6	1848
406.667	663.9	308.6	813
410.000	651.8	301.2	658
413.333	642.0	298.4	449
416.667	674.3	323.6	769
420.000	658.2	305.1	608
423.333	659.3	321.3	418
426.667	638.6	311.6	613
430.000	652.0	310.7	211
433.333	653.6	296.4	826
436.667	668.5	317.5	1462
440.000	651.8	317.2	898
443.333	670.7	314.0	1112
446.667	668.5	320.4	604
450.000	663.7	312.6	406
453.333	677.4	321.2	665
456.667	672.6	316.7	681
460.000	655.7	324.9	490
463.333	657.0	317.2	397
466.667	660.5	323.7	615
470.000	667.0	303.0	188
473.333	668.4	325.3	485
476.667	641.7	321.2	218
480.000	657.8	323.7	556
483.333	653.0	316.0	190
486.667	668.7	320.5	530
490.000	666.6	324.9	180
493.333	652.6	327.7	553
496.667	654.3	324.6	643
500.000	664.7	310.5	595
503.333	646.3	312.1	668
506.667	663.4	321.4	488
510.000	665.1	314.9	624
513.333	666.4	327.5	246
516.667	653.4	326.2	515
520.000	655.7	318.3	1159
523.333	659.1	317.1	655
526.667	659.7	311.6	807
530.000	673.2	292.9	487
533.333	658.4	332.5	1006
536.667	668.2	311.4	1398
540.000	638.0	324.2	1103
543.333	663.4	331.5	1066
546.667	666.6	331.7	828
550.000	680.6	319.1	972
553.333	673.2	318.9	93
556.667	663.4	327.3	1050
560.000	666.0	332.7	474
563.333	672.2	326.9	724
566.667	650.7	344.1	1592
570.000	683.5	314.1	996
573.333	676.2	304.6	445
576.667	664.9	302.4	637
580.000	672.2	332.9	1292
583.333	654.1	328.6	940
586.667	669.9	305.2	1111
590.000	661.4	331.8	622
593.333	672.8	322.7	886
596.667	682.4	336.1	618
600.000	657.0	340.8	119
603.333	660.5	330.6	886
606.667	671.6	318.7	427
610.000	665.9	337.0	837
613.333	685.8	356.2	608
616.667	673.9	319.4	1033
620.000	654.7	312.4	1794
623.333	663.7	322.5	1472
626.667	661.4	319.5	832
630.000	667.8	307.5	1387
633.333	654.0	330.8	3472
636.667	650.3	324.4	4757
640.000	623.0	306.9	6224
643.333	596.0	282.4	6498
646.667	586.8	279.0	5664
650.000	565.2	255.4	4274
653.333	569.1	254.8	3293
656.667	566.6	249.2	2762
660.000	558.7	239.1	1523
663.333	539.3	241.2	1313
666.667	542.4	237.6	119
670.000	555.3	239.8	564
673.333	548.7	237.9	1102
676.667	566.4	253.8	1154
680.000	552.4	241.4	974
683.333	559.3	249.9	907
686.667	553.2	262.4	317
690.000	543.4	252.8	221
693.333	572.4	258.4	697
696.667	548.9	238.7	841
700.000	548.5	255.5	368
703.333	544.5	244.6	303
706.667	556.4	243.0	405
710.000	559.3	250.3	363
713.333	554.9	260.0	285
716.667	544.5	245.5	500
720.000	548.5	238.0	585
723.333	559.9	242.4	808
726.667	548.4	243.5	723
730.000	561.6	244.4	336
733.333	545.9	233.8	788
736.667	564.3	234.9	387
740.000	536.3	243.9	432
743.333	545.5	256.9	384
746.667	550.3	232.4	241
750.000	551.6	236.2	713
753.333	544.9	247.8	776
756.667	557.2	246.7	1113
760.000	552.2	248.7	269
763.333	551.4	264.9	712
766.667	558.9	245.8	379
770.000	550.7	236.7	171
773.333	567.2	246.1	171
776.667	557.8	263.5	171
780.000	550.3	247.9	171
