time	x	y	v
0.000	894.9	379.2	2011
3.333	867.6	358.7	2011
6.667	874.9	344.2	2011
10.000	897.4	346.8	2011
13.333	873.4	332.6	1618
16.667	873.2	341.7	375
20.000	890.9	331.8	1415
23.333	890.3	325.1	2164
26.667	881.5	350.1	2417
30.000	872.4	382.4	2044
33.333	870.1	366.3	579
36.667	858.4	366.3	893
40.000	906.0	361.7	1881
43.333	894.9	330.4	1839
46.667	879.7	374.8	1103
50.000	887.4	340.8	1002
53.333	890.3	330.7	272
56.667	876.7	349.6	1175
60.000	885.1	353.7	183
63.333	889.3	335.1	410
66.667	887.6	335.1	535
70.000	883.4	348.2	1122
73.333	879.2	349.2	50
76.667	876.1	333.0	829
80.000	899.9	315.7	1208
83.333	883.2	351.6	511
86.667	877.6	318.4	667
90.000	895.1	327.2	1728
93.333	871.1	367.7	1010
96.667	890.7	327.1	1598
100.000	875.5	364.8	1516
103.333	898.9	349.4	1376
106.667	880.7	353.8	1145
110.000	877.4	375.5	756
113.333	890.5	380.2	666
116.667	884.5	343.7	406
120.000	860.5	369.8	1065
123.333	900.5	367.7	1273
126.667	875.3	375.1	292
130.000	856.3	350.2	967
133.333	873.0	349.8	1205
136.667	898.0	357.0	1034
140.000	887.2	367.5	489
143.333	891.6	335.3	911
146.667	877.6	369.1	1447
150.000	870.5	343.5	1007
153.333	874.2	378.0	897
156.667	896.4	388.9	1019
160.000	885.3	360.2	1269
163.333	890.7	351.0	693
166.667	883.6	391.8	643
170.000	876.3	385.1	182
173.333	875.5	387.4	771
176.667	888.8	353.2	1603
180.000	883.8	358.9	1959
183.333	885.5	359.6	802
186.667	886.7	369.9	1527
190.000	878.4	334.3	1830
193.333	857.3	390.2	1111
196.667	870.3	368.6	729
200.000	848.3	359.1	903
203.333	886.1	376.1	848
206.667	866.5	366.1	327
210.000	864.8	375.8	950
213.333	866.9	359.5	824
216.667	871.3	376.4	560
220.000	866.3	389.4	774
223.333	862.1	373.6	683
226.667	882.6	367.8	1064
230.000	879.4	381.0	1237
233.333	877.2	362.0	782
236.667	875.7	364.1	1417
240.000	870.0	360.8	338
243.333	848.8	392.0	441
246.667	862.8	372.4	503
250.000	888.2	360.8	281
253.333	869.0	346.8	328
256.667	858.8	368.8	560
260.000	870.0	384.2	778
263.333	864.0	380.3	1132
266.667	871.1	362.7	515
270.000	901.6	364.1	588
273.333	851.5	390.4	751
276.667	873.8	365.0	1299
280.000	858.8	370.5	287
283.333	868.6	394.2	1174
286.667	877.4	387.4	651
290.000	894.5	359.2	300
293.333	867.6	383.6	759
296.667	871.9	383.8	878
300.000	868.2	383.0	875
303.333	871.5	368.0	412
306.667	890.1	354.6	538
310.000	870.3	409.4	584
313.333	871.9	383.4	217
316.667	863.8	385.3	1414
320.000	884.2	379.3	809
323.333	870.9	360.1	749
326.667	853.4	418.8	260
330.000	856.3	386.4	629
333.333	877.1	390.5	216
336.667	880.9	372.2	1437
340.000	854.0	392.5	532
343.333	867.1	387.2	628
346.667	865.7	374.5	432
350.000	878.0	378.5	630
353.333	884.2	375.0	1189
356.667	864.8	375.6	1702
360.000	869.0	399.0	1504
363.333	877.6	407.9	1736
366.667	876.9	399.6	3026
370.000	870.5	397.4	1787
373.333	872.4	414.0	645
376.667	874.2	462.8	915
380.000	857.5	411.0	1721
383.333	869.8	374.1	2316
386.667	864.8	393.8	2546
390.000	871.7	387.2	548
393.333	847.7	402.2	903
396.667	871.7	385.6	2463
400.000	847.3	409.4	4798
403.333	853.4	366.9	6917
406.667	816.8	357.6	8120
410.000	774.9	339.2	7724
413.333	747.6	324.8	7619
416.667	750.9	316.0	5946
420.000	736.1	325.0	5366
423.333	689.1	325.2	6212
426.667	700.8	313.2	6275
430.000	662.4	314.6	5801
433.333	630.5	284.5	3933
436.667	640.1	302.0	2645
440.000	622.8	287.6	1147
443.333	645.3	280.7	1203
446.667	640.5	299.3	1167
450.000	653.0	276.2	1175
453.333	652.6	305.9	564
456.667	654.0	294.0	639
460.000	647.4	289.0	1473
463.333	637.8	298.9	1031
