time	x	y	v
0.000	481.7	335.8	180
3.333	489.8	324.2	180
6.667	501.1	352.1	180
10.000	497.1	321.0	180
13.333	495.4	333.9	415
16.667	489.8	326.8	835
20.000	485.8	334.9	393
23.333	496.1	322.5	155
26.667	490.0	329.5	1077
30.000	486.3	325.2	1293
33.333	493.4	340.7	1134
36.667	499.2	353.6	731
40.000	502.3	345.5	571
43.333	493.2	336.3	168
46.667	491.7	341.3	279
50.000	497.7	346.4	575
53.333	497.9	352.2	708
56.667	493.2	341.3	1024
60.000	493.2	322.1	960
63.333	495.4	328.9	483
66.667	500.5	331.7	309
70.000	504.4	335.8	529
73.333	493.8	338.8	110
76.667	497.1	334.2	169
80.000	495.9	332.5	368
83.333	503.6	326.8	300
86.667	503.8	335.8	397
90.000	504.0	348.0	564
93.333	494.8	324.0	1142
96.667	498.0	320.4	1163
100.000	488.3	330.7	619
103.333	488.6	316.7	904
106.667	489.8	329.7	1102
110.000	492.1	339.7	1390
113.333	504.6	338.9	1456
116.667	498.2	339.3	632
120.000	500.7	348.6	1024
123.333	504.8	341.6	1006
126.667	502.3	325.0	640
130.000	497.9	317.0	767
133.333	500.7	330.6	24
136.667	504.2	340.0	401
140.000	505.0	324.2	331
143.333	500.2	334.7	865
146.667	504.4	326.7	1044
150.000	498.0	331.6	126
153.333	495.6	310.2	360
156.667	499.4	320.1	207
160.000	505.9	342.5	451
163.333	500.0	316.9	954
166.667	496.1	320.3	722
170.000	502.7	338.9	615
173.333	501.7	334.3	1359
176.667	503.0	340.6	912
180.000	505.2	340.8	264
183.333	504.8	343.4	95
186.667	498.0	343.1	657
190.000	497.9	336.9	695
193.333	504.6	336.1	423
196.667	496.9	327.6	241
200.000	500.2	333.7	373
203.333	503.0	339.7	214
206.667	500.9	336.3	544
210.000	494.4	321.7	240
213.333	507.5	345.6	261
216.667	505.5	338.8	951
220.000	503.0	334.5	1462
223.333	503.6	329.4	1470
226.667	496.5	305.3	1054
230.000	497.3	306.5	549
233.333	507.5	331.8	1216
236.667	496.7	316.4	1629
240.000	513.6	348.4	992
243.333	502.1	333.9	577
246.667	511.9	327.8	465
250.000	503.4	332.2	401
253.333	507.8	310.7	281
256.667	507.8	329.9	895
260.000	508.2	344.6	1339
263.333	499.8	331.6	1631
266.667	511.5	344.6	1062
270.000	512.3	349.8	634
273.333	514.4	347.1	574
276.667	504.4	354.9	274
280.000	510.9	346.8	66
283.333	505.7	346.0	132
286.667	511.3	353.6	305
290.000	511.9	348.0	312
293.333	513.0	347.9	583
296.667	508.2	347.4	435
300.000	505.5	338.6	207
303.333	504.2	339.3	205
306.667	512.3	350.7	436
310.000	507.8	351.4	683
313.333	507.5	346.5	655
316.667	513.0	349.6	1077
320.000	514.0	350.1	1671
323.333	512.4	323.2	2783
326.667	512.1	335.1	3361
330.000	516.5	317.1	3851
333.333	515.1	287.1	3164
336.667	515.1	289.2	2567
340.000	512.4	269.0	1319
343.333	509.6	278.2	1307
346.667	530.5	288.3	1743
350.000	520.3	280.8	2010
353.333	545.1	296.2	1366
356.667	534.1	301.4	660
360.000	532.2	298.1	481
363.333	543.4	280.4	741
366.667	537.4	297.9	495
370.000	536.8	282.9	333
373.333	540.9	285.7	496
376.667	545.9	307.2	334
380.000	536.6	291.7	324
383.333	545.3	291.2	440
386.667	543.2	287.4	338
390.000	543.2	293.5	992
393.333	540.3	309.9	812
396.667	535.5	300.2	1169
400.000	545.9	309.0	285
403.333	552.2	299.1	110
406.667	549.7	317.4	315
410.000	539.1	293.1	339
413.333	539.7	310.4	189
416.667	546.2	310.8	322
420.000	543.4	299.6	638
423.333	549.5	308.8	432
426.667	541.6	300.6	612
430.000	550.5	314.7	696
433.333	534.3	294.4	504
436.667	542.8	295.6	133
440.000	536.1	294.1	278
443.333	544.7	308.3	334
446.667	546.4	308.8	229
450.000	542.0	292.2	590
453.333	538.0	283.7	319
456.667	547.0	313.3	572
460.000	547.2	314.6	1605
463.333	546.0	306.7	1005
466.667	553.5	301.1	192
470.000	550.1	329.4	663
473.333	547.0	305.9	277
476.667	548.4	306.2	705
480.000	544.7	293.0	817
483.333	544.3	317.2	140
486.667	547.4	294.4	116
490.000	555.1	308.2	268
493.333	545.5	306.1	515
496.667	545.3	303.9	490
500.000	549.7	304.7	243
503.333	553.2	297.4	781
506.667	547.8	317.3	549
510.000	548.2	310.0	959
513.333	539.9	321.7	1407
516.667	547.2	304.2	576
520.000	554.5	328.4	485
523.333	558.3	334.7	524
526.667	551.4	307.9	517
530.000	548.9	318.0	965
533.333	554.5	312.4	958
536.667	552.8	304.6	145
540.000	553.5	317.2	318
543.333	549.5	303.8	388
546.667	547.4	313.6	359
550.000	546.6	311.8	283
553.333	549.1	312.4	127
556.667	549.1	313.3	609
560.000	547.4	317.8	273
563.333	552.0	302.6	302
566.667	552.2	300.7	383
570.000	551.2	319.5	387
573.333	555.5	313.2	416
576.667	555.8	309.5	370
580.000	555.3	305.5	169
583.333	559.1	310.0	155
586.667	552.4	299.4	236
590.000	557.0	326.4	642
593.333	551.2	302.1	381
596.667	557.2	313.4	159
600.000	552.2	321.7	141
603.333	555.1	310.5	319
606.667	552.2	308.2	282
610.000	561.0	321.4	411
613.333	558.5	300.1	828
616.667	559.1	320.9	849
620.000	560.1	319.2	700
623.333	561.8	326.5	1281
626.667	561.2	322.9	338
630.000	567.9	323.9	274
633.333	551.4	336.7	620
636.667	559.1	319.9	333
640.000	556.6	318.4	138
643.333	553.3	318.1	286
646.667	559.3	335.9	390
650.000	562.8	329.0	350
653.333	557.0	324.6	443
656.667	555.6	324.2	384
660.000	552.6	328.4	849
663.333	559.1	338.4	1214
666.667	557.0	338.6	742
670.000	557.6	341.1	277
673.333	565.6	346.0	822
676.667	554.3	333.6	637
680.000	560.4	333.3	942
683.333	562.6	319.2	1402
686.667	563.1	339.1	305
690.000	560.3	321.4	769
693.333	553.5	309.2	556
696.667	563.3	340.2	268
700.000	548.7	310.2	492
703.333	557.6	343.0	721
706.667	564.3	332.4	251
710.000	556.4	320.2	513
713.333	556.4	337.3	431
716.667	560.1	322.1	888
720.000	560.8	333.9	2359
723.333	572.0	343.0	3454
726.667	580.0	317.1	4379
730.000	595.4	282.6	5736
733.333	611.3	303.3	6978
736.667	646.3	315.1	9532
740.000	678.0	335.1	11853
743.333	704.3	353.4	12650
746.667	739.6	411.8	13558
750.000	773.8	433.7	14480
753.333	812.7	445.0	14437
756.667	857.9	484.5	14009
760.000	898.6	523.5	14322
763.333	930.6	530.1	13675
766.667	971.9	558.8	12435
770.000	1015.5	587.7	11831
773.333	1049.3	581.1	11442
776.667	1081.5	586.3	11274
780.000	1118.2	603.9	11000
783.333	1150.7	607.2	10982
786.667	1195.8	635.6	10647
790.000	1222.3	643.8	10035
793.333	1254.5	638.0	9699
796.667	1278.9	662.4	8972
800.000	1307.9	669.2	9517
803.333	1345.7	666.4	10033
806.667	1367.6	673.1	10772
810.000	1412.7	687.2	10208
813.333	1453.6	669.4	10494
816.667	1494.5	660.3	11300
820.000	1497.2	658.6	11015
823.333	1554.8	635.7	11218
826.667	1596.9	616.0	10549
830.000	1620.1	616.4	10537
833.333	1662.7	588.3	9052
836.667	1677.7	622.4	8877
840.000	1718.4	634.3	8736
843.333	1734.3	653.8	7495
846.667	1756.8	682.6	5266
850.000	1770.2	685.0	3353
853.333	1748.0	700.3	1509
856.667	1741.1	701.5	541
860.000	1747.0	696.5	822
863.333	1758.9	685.3	2164
866.667	1754.9	697.4	2329
870.000	1785.0	688.9	2086
873.333	1782.9	700.5	1732
876.667	1777.7	718.7	1757
880.000	1774.1	715.7	2033
883.333	1773.7	710.7	1232
886.667	1767.6	732.3	994
890.000	1767.7	726.6	1597
893.333	1776.6	724.9	1552
896.667	1772.5	737.7	947
900.000	1767.9	749.7	1157
903.333	1774.1	743.7	1037
906.667	1776.4	740.3	42
910.000	1771.0	750.2	433
913.333	1773.7	752.0	283
916.667	1770.6	735.0	880
920.000	1779.8	741.3	931
923.333	1764.7	753.1	1180
926.667	1771.6	768.4	1229
930.000	1764.5	760.4	446
933.333	1770.2	761.3	653
936.667	1770.0	756.9	1190
940.000	1769.1	752.8	776
943.333	1763.3	744.4	616
946.667	1770.0	745.0	743
950.000	1776.0	753.1	875
953.333	1765.6	747.3	1272
956.667	1770.0	734.6	1502
960.000	1775.4	733.0	1593
963.333	1778.7	722.8	1286
966.667	1765.4	723.2	1026
970.000	1768.9	723.7	716
973.333	1773.5	718.0	301
976.667	1770.4	712.7	155
980.000	1781.0	719.4	347
983.333	1770.4	720.0	395
986.667	1766.6	726.3	268
990.000	1764.1	721.0	718
993.333	1770.4	707.9	848
996.667	1773.7	714.1	376
1000.000	1766.6	710.0	240
1003.333	1774.8	707.9	282
1006.667	1767.0	724.5	103
1010.000	1771.4	706.9	125
1013.333	1771.0	716.7	438
1016.667	1768.7	709.8	367
1020.000	1766.4	713.9	246
1023.333	1763.3	718.7	496
1026.667	1763.5	712.7	299
1030.000	1770.6	707.8	325
1033.333	1767.0	703.4	284
1036.667	1761.6	712.2	317
1040.000	1756.6	723.9	171
1043.333	1768.5	718.3	349
1046.667	1767.7	708.7	368
1050.000	1772.0	705.6	418
1053.333	1767.2	711.8	334
