time	x	y	v
0.000	923.5	352.3	907
3.333	924.9	368.3	907
6.667	932.4	354.5	907
10.000	931.8	348.9	907
13.333	950.6	345.1	450
16.667	953.5	374.4	200
20.000	926.6	351.9	562
23.333	933.5	354.3	882
26.667	942.5	343.3	557
30.000	944.4	339.3	1845
33.333	924.1	375.0	1413
36.667	934.5	367.2	999
40.000	926.6	389.9	1234
43.333	916.2	345.0	1175
46.667	929.5	335.9	76
50.000	918.3	347.2	634
53.333	911.4	377.5	1245
56.667	944.3	372.4	1584
60.000	933.5	360.2	1256
63.333	934.1	345.8	2681
66.667	916.6	391.6	992
70.000	930.2	383.8	324
73.333	969.4	430.8	501
76.667	938.3	338.6	959
80.000	923.1	352.7	1391
83.333	942.0	382.3	1942
86.667	938.7	444.7	1596
90.000	906.8	367.0	1425
93.333	928.7	359.9	2438
96.667	916.2	378.4	2764
100.000	918.1	347.3	108
103.333	926.0	372.4	603
106.667	922.0	359.6	562
110.000	904.7	368.6	883
113.333	916.4	360.8	1329
116.667	928.1	353.6	1164
120.000	940.8	375.6	529
123.333	945.6	356.0	462
126.667	922.0	355.5	168
130.000	911.0	375.7	1387
133.333	921.0	358.8	1178
136.667	956.5	361.9	531
140.000	923.3	412.5	880
143.333	922.4	358.6	905
146.667	918.0	365.0	1458
150.000	945.0	354.6	1620
153.333	933.1	351.4	994
156.667	930.0	360.3	1070
160.000	923.1	366.4	1882
163.333	920.3	386.4	1371
166.667	919.1	366.3	343
170.000	915.8	376.9	1183
173.333	946.4	383.0	2088
176.667	907.0	358.1	1343
180.000	938.1	346.2	1199
183.333	950.4	354.8	952
186.667	918.5	356.5	1061
190.000	922.4	358.5	311
193.333	916.6	365.3	1086
196.667	922.6	312.2	1655
200.000	955.4	362.2	1110
203.333	948.9	341.7	1557
206.667	939.3	364.7	1789
210.000	924.9	371.3	1121
213.333	948.1	364.8	309
216.667	953.9	353.2	978
220.000	919.9	373.6	1217
223.333	943.1	338.6	425
226.667	947.1	355.1	643
230.000	944.1	347.9	482
233.333	933.9	368.3	1391
236.667	924.7	357.9	1600
240.000	922.2	352.1	677
243.333	948.7	376.8	970
246.667	901.6	359.4	505
250.000	942.3	362.0	516
253.333	908.4	341.1	933
256.667	947.3	359.3	1440
260.000	936.4	373.8	849
263.333	950.8	379.0	969
266.667	931.4	334.7	352
270.000	951.6	353.7	278
273.333	937.3	357.6	490
276.667	935.6	376.9	993
280.000	949.1	360.2	877
283.333	931.8	362.9	1632
286.667	971.1	332.7	425
290.000	942.3	350.5	1030
293.333	955.4	343.3	1044
296.667	925.4	379.3	3103
300.000	928.3	356.4	1393
303.333	935.8	349.6	491
306.667	892.4	357.9	1145
310.000	955.2	385.6	951
313.333	932.5	341.6	901
316.667	940.8	351.4	1864
320.000	936.0	343.9	925
323.333	932.9	388.5	1709
326.667	931.0	407.6	1391
330.000	939.1	350.1	888
333.333	941.8	374.0	1616
336.667	933.9	387.4	1939
340.000	925.2	382.6	342
343.333	963.5	349.1	1872
346.667	952.5	354.5	1439
350.000	930.8	369.9	593
353.333	943.5	337.5	1171
356.667	911.0	371.3	1130
360.000	946.4	365.9	484
363.333	942.0	358.0	957
366.667	909.7	345.8	1038
370.000	952.5	380.5	641
373.333	927.7	367.8	297
376.667	944.4	341.5	658
380.000	940.4	389.4	2325
383.333	915.1	343.5	2214
386.667	910.7	368.5	6257
390.000	906.4	352.7	7944
393.333	901.4	398.2	7533
396.667	868.6	496.7	6459
400.000	879.6	505.7	3817
403.333	864.8	423.0	1390
406.667	837.5	455.1	3448
410.000	882.4	436.8	3334
413.333	876.9	423.3	1263
416.667	875.1	440.3	1928
420.000	885.5	404.4	2481
