time	x	y	v
0.000	960.0	568.0	NaN
3.333	NaN	NaN	NaN
6.667	NaN	NaN	NaN
10.000	958.8	558.7	NaN
13.333	964.8	574.5	NaN
16.667	962.7	578.2	NaN
20.000	962.5	571.0	439
23.333	952.3	578.0	NaN
26.667	955.2	567.3	NaN
30.000	955.2	565.5	NaN
33.333	NaN	NaN	NaN
36.667	NaN	NaN	NaN
40.000	960.2	574.6	NaN
43.333	962.7	578.1	NaN
46.667	NaN	NaN	NaN
50.000	NaN	NaN	NaN
53.333	NaN	NaN	NaN
56.667	NaN	NaN	NaN
60.000	NaN	NaN	NaN
63.333	NaN	NaN	NaN
66.667	NaN	NaN	NaN
70.000	NaN	NaN	NaN
73.333	960.4	567.9	NaN
76.667	NaN	NaN	NaN
80.000	NaN	NaN	NaN
83.333	954.8	575.4	NaN
86.667	NaN	NaN	NaN
90.000	NaN	NaN	NaN
93.333	NaN	NaN	NaN
96.667	NaN	NaN	NaN
100.000	964.8	589.0	NaN
103.333	NaN	NaN	NaN
106.667	NaN	NaN	NaN
110.000	959.2	576.0	NaN
113.333	956.5	580.2	NaN
116.667	962.5	576.8	NaN
120.000	958.5	576.3	229
123.333	958.1	569.3	255
126.667	957.5	579.1	429
130.000	960.2	586.3	548
133.333	957.9	580.8	237
136.667	961.9	581.5	268
140.000	968.3	579.2	98
143.333	957.7	570.3	250
146.667	956.7	582.0	379
150.000	961.0	586.5	594
153.333	963.6	584.2	725
156.667	962.9	584.5	259
160.000	956.5	586.5	354
163.333	958.3	590.5	170
166.667	952.9	579.4	159
170.000	959.2	591.2	411
173.333	963.3	578.7	391
176.667	956.2	594.1	787
180.000	964.0	592.9	534
183.333	960.2	589.5	NaN
186.667	959.6	599.1	NaN
190.000	965.4	595.0	NaN
193.333	NaN	NaN	NaN
196.667	NaN	NaN	NaN
200.000	954.8	588.1	NaN
203.333	962.7	592.5	NaN
206.667	967.1	580.8	NaN
210.000	961.2	594.5	166
213.333	967.1	592.6	293
216.667	960.8	587.3	499
220.000	951.2	589.1	116
223.333	965.0	585.9	354
226.667	960.0	599.7	393
230.000	966.5	593.2	214
233.333	959.2	596.1	603
236.667	958.1	592.1	747
240.000	960.0	591.6	478
243.333	949.8	586.3	286
246.667	953.9	590.0	162
250.000	965.4	586.3	585
253.333	962.7	594.1	705
256.667	955.8	588.5	227
260.000	970.6	593.9	401
263.333	960.2	595.1	197
266.667	958.3	590.3	504
270.000	955.8	592.4	660
273.333	961.3	595.5	274
276.667	956.4	602.3	523
280.000	953.7	596.4	206
283.333	959.8	595.6	261
286.667	967.9	600.9	67
290.000	954.2	596.1	296
293.333	966.1	598.1	421
296.667	951.9	600.6	459
300.000	951.4	598.3	163
303.333	960.2	589.4	415
306.667	958.8	595.1	570
310.000	959.8	598.1	544
313.333	965.8	590.2	603
316.667	960.2	602.6	497
320.000	961.5	602.5	361
323.333	964.8	600.5	651
326.667	967.5	600.7	198
330.000	962.1	601.9	201
333.333	969.6	610.3	275
336.667	961.5	599.0	268
340.000	957.5	597.3	328
343.333	964.0	607.6	237
346.667	961.9	601.8	455
350.000	961.3	595.8	127
353.333	963.1	605.7	317
356.667	964.4	610.3	238
360.000	959.0	597.6	361
363.333	969.6	596.9	261
366.667	964.8	606.1	288
370.000	966.0	608.4	546
373.333	967.1	608.3	261
376.667	969.2	599.4	158
380.000	968.8	608.7	137
383.333	969.2	605.6	42
386.667	961.3	603.0	50
390.000	966.1	607.6	376
393.333	971.5	603.4	131
396.667	970.0	602.0	295
400.000	959.2	600.7	171
403.333	966.5	606.0	311
406.667	973.8	601.9	253
410.000	961.9	603.6	191
413.333	962.5	603.6	397
416.667	962.3	604.4	161
420.000	960.0	600.0	277
423.333	963.6	603.9	186
426.667	968.8	604.7	205
430.000	965.6	600.8	178
433.333	962.9	602.6	70
436.667	965.0	600.0	147
440.000	966.0	600.7	140
443.333	966.0	604.7	126
446.667	972.1	602.3	173
450.000	961.5	603.1	133
453.333	966.9	601.1	318
456.667	967.5	595.2	376
460.000	965.4	603.5	152
463.333	966.1	596.9	345
466.667	957.9	604.7	561
470.000	963.3	600.2	110
473.333	969.2	607.7	224
476.667	962.7	608.5	432
480.000	962.7	598.0	238
483.333	967.9	603.7	334
486.667	970.4	606.9	252
490.000	967.5	605.4	335
493.333	966.3	596.8	278
496.667	964.6	602.1	99
500.000	971.5	593.5	90
503.333	963.6	606.3	331
506.667	968.4	606.0	195
510.000	963.8	599.1	452
513.333	966.9	604.9	194
516.667	961.9	599.0	274
520.000	963.3	608.7	276
523.333	969.0	598.6	375
526.667	965.0	596.6	85
530.000	966.3	596.9	331
533.333	963.3	598.6	523
536.667	960.4	607.3	904
540.000	960.4	606.9	2165
543.333	960.4	597.1	4438
546.667	942.1	589.2	7140
550.000	915.5	588.8	9440
553.333	874.2	558.5	11123
556.667	841.9	528.8	11599
560.000	808.5	514.4	11293
563.333	783.9	478.3	10286
566.667	757.4	468.7	10011
570.000	733.2	452.4	9654
573.333	696.6	448.3	9480
576.667	654.1	443.7	8809
580.000	634.8	437.2	7857
583.333	607.1	426.4	5746
586.667	596.2	423.8	3436
590.000	577.0	422.8	1385
593.333	587.9	421.6	504
596.667	597.1	413.2	727
600.000	603.5	432.5	837
603.333	598.5	408.3	446
606.667	593.9	415.2	678
610.000	592.3	411.8	857
613.333	593.5	414.5	295
616.667	589.2	411.0	611
620.000	594.4	409.1	716
623.333	597.5	403.6	510
626.667	587.5	403.6	510
630.000	582.1	402.4	602
633.333	589.2	410.9	614
636.667	582.5	406.0	273
640.000	586.4	411.8	372
643.333	579.1	397.9	452
646.667	582.3	408.6	766
650.000	589.1	395.2	919
653.333	591.7	406.3	1125
656.667	597.9	402.1	452
660.000	599.2	408.1	745
663.333	596.0	411.9	851
666.667	587.7	390.3	639
670.000	601.7	381.3	416
673.333	594.0	399.6	288
